Age,DailyRate,DistanceFromHome,EmployeeCount,HourlyRate,JobInvolvement,JobLevel,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Education_2,Education_3,Education_4,Education_5,EnvironmentSatisfaction_2,EnvironmentSatisfaction_3,EnvironmentSatisfaction_4,JobSatisfaction_2,JobSatisfaction_3,JobSatisfaction_4,StockOptionLevel_1,StockOptionLevel_2,StockOptionLevel_3,WorkLifeBalance_2,WorkLifeBalance_3,WorkLifeBalance_4,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Attrition
58.309999999999945,1435,25,1,99,3,3,7637.0,2354.0,7,11,80,28,3,21,15,7,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
36.0,1223,8,1,59,3,3,10096.0,8202.0,1,13,80,17,2,17,14,12,8,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55.0,836,8,1,33,3,4,14756.0,19730.0,2,14,80,21,2,5,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
36.0,1195,11,1,95,2,2,6499.0,22656.0,1,13,80,6,3,6,5,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
45.0,1339,7,1,59,3,3,9724.0,18787.0,2,17,80,25,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.0,664,1,1,79,3,1,2194.0,5868.0,4,13,80,5,2,3,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36.0,318,9,1,79,2,1,3388.0,21777.0,0,17,80,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1
58.309999999999945,1225,1,1,57,2,2,5473.0,24668.0,7,11,80,20,2,4,3,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
29.0,1328,2,1,76,3,1,2703.0,4956.0,0,23,80,6,3,5,4,0,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
31.0,1082,1,1,87,3,1,2501.0,18775.0,1,17,80,1,4,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
32.0,548,1,1,66,3,2,6220.0,7346.0,1,17,80,10,3,10,4,0,9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
36.0,132,6,1,55,4,1,3038.0,22002.0,3,12,80,5,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
31.0,746,8,1,61,3,2,4424.0,20682.0,1,23,80,11,2,11,7,1,8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35.0,776,1,1,32,2,2,4312.0,23016.0,0,14,80,16,2,15,13,2,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
45.0,193,6,1,52,3,3,13245.0,15067.0,4,14,80,17,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
37.0,397,7,1,30,3,3,13664.0,25258.0,4,13,80,16,3,5,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
46.0,945,5,1,80,3,2,5021.0,10425.0,8,22,80,16,2,4,2,0,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30.0,852,1,1,55,2,2,5126.0,15998.0,1,12,80,10,1,10,8,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
35.0,1214,1,1,30,2,1,2859.0,26278.0,1,18,80,6,3,6,4,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
55.0,117,1,1,70,3,3,10239.0,18092.0,3,14,80,24,4,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
38.0,573,6,1,79,1,2,5329.0,15717.0,7,12,80,17,3,13,11,1,9,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34.0,1153,1,1,94,3,2,4325.0,17736.0,1,15,80,5,2,5,2,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56.0,1400,7,1,49,1,3,7260.0,21698.0,4,11,80,35,3,6,4,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23.0,541,2,1,62,3,1,2322.0,9518.0,3,13,80,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
51.0,432,9,1,96,3,1,2075.0,18725.0,3,23,80,10,4,4,2,0,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30.0,288,2,1,99,2,2,4152.0,15830.0,1,19,80,11,3,11,10,10,8,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.0,669,9,1,64,2,3,9619.0,13596.0,1,16,80,9,3,9,8,4,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
40.0,530,1,1,78,2,4,13503.0,14115.0,1,22,80,22,3,22,3,11,11,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51.0,632,21,1,71,3,2,5441.0,8423.0,0,22,80,11,2,10,7,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
30.0,1334,4,1,63,2,2,5209.0,19760.0,1,12,80,11,4,11,8,2,7,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
46.0,638,1,1,40,2,3,10673.0,3142.0,2,13,80,21,5,10,9,9,5,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
32.0,1093,6,1,87,3,2,5010.0,24301.0,1,16,80,12,0,11,8,5,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
54.0,1217,2,1,60,3,3,13549.0,24001.0,9,12,80,16,5,4,3,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
24.0,1353,3,1,33,3,2,4999.0,17519.0,0,21,80,4,2,3,2,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
28.0,120,4,1,43,3,2,4221.0,8863.0,1,15,80,5,3,5,4,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
58.0,682,10,1,37,3,4,13872.0,24409.0,0,13,80,35,1,31,10,1,8,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44.0,489,23,1,67,3,2,2042.0,25043.0,4,12,80,17,3,3,2,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
37.0,807,6,1,63,3,1,2073.0,23648.0,4,22,80,7,3,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
32.0,827,1,1,71,3,1,2956.0,15178.0,1,13,80,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
20.0,871,6,1,66,2,1,2926.0,19783.0,1,18,80,1,5,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
34.0,665,6,1,41,3,2,4809.0,12482.0,1,14,80,16,3,16,13,2,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
37.0,1040,2,1,100,2,2,5163.0,15850.0,5,14,80,17,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58.309999999999945,1420,2,1,32,2,5,18844.0,21922.0,9,21,80,30,3,3,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50.0,1115,1,1,73,3,5,18172.0,9755.0,3,19,80,28,1,8,3,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
25.0,240,5,1,46,2,2,5744.0,26704.24,1,11,80,6,1,6,4,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
